日期,确诊,治愈,死亡,新增确诊,新增本土,新增无症状门
6.24,63224,62508,595,5,0,5
6.25,63228,62539,595,4,0,4
6.26,63236,62546,595,8,2,8
6.27,63239,62554,595,3,0,3
6.28,63240,62560,595,1,0,1
6.29,63250,62575,595,10,0,10
6.30,63254,62589,595,4,0,4
7.1,63257,62598,595,3,0,3
7.2,63264,62604,595,7,2,7
7.3,63273,62614,595,9,2,9
7.4,63280,62619,595,7,3,7
7.5,63295,62623,595,15,9,15
7.6,63338,62630,595,43,32,43
7.7,63359,62639,595,21,17,21
7.8,63378,62644,595,19,11,19
7.9,63387,62647,595,9,5,9
7.10,63404,62654,595,17,6,17
7.11,63417,62662,595,13,5,13
7.12,63431,62667,595,14,5,14
7.13,63442,62674,595,11,5,11
7.14,63453,62689,595,11,6,11
7.15,63464,62704,595,11,5,11
7.16,63472,62729,595,8,2,8
7.17,63478,62741,595,6,3,6
7.18,63486,62754,595,8,4,8
7.19,63493,62780,595,7,5,7
7.20,63498,62786,595,5,3,5
7.21,63510,62800,595,12,3,12
7.22,63516,62818,595,6,2,6
7.23,63526,62828,595,10,3,10
7.24,63536,62840,595,10,3,10
7.25,63542,62852,595,6,4,6
7.26,63551,62862,595,9,2,9
7.27,63563,62871,595,12,3,12
7.28,63568,62881,595,5,1,5
7.29,63581,62884,595,13,1,13
7.30,63593,62888,595,12,3,12
7.31,63599,62900,595,6,0,6
8.1,63607,62914,595,8,0,8
8.2,63613,62925,595,6,0,6
8.3,63621,62929,595,8,0,8
8.4,63626,62931,595,5,0,5
8.5,63634,62944,595,8,0,8
8.6,63637,62954,595,3,0,3
8.7,63644,62965,595,7,0,7
8.8,63646,62977,595,2,0,2
8.9,63666,62983,595,20,0,20
8.10,63680,62993,595,14,0,14
8.11,63690,63005,595,10,2,10
8.12,63699,63008,595,9,1,9
8.13,63707,63015,595,8,0,8
8.14,63719,63021,595,12,1,12
8.15,63729,63031,595,10,0,10
8.16,63736,63037,595,7,0,7
8.17,63743,63044,595,7,0,7
8.18,63750,63052,595,7,0,7
8.19,63759,63063,595,9,1,9
8.20,63767,63068,595,8,0,8
8.21,63774,63081,595,7,1,7
8.22,63787,63090,595,13,1,13
8.23,63793,63098,595,6,0,6
8.24,63796,63109,595,3,0,3
8.25,63801,63117,595,5,1,5
8.26,63807,63131,595,6,1,6
8.27,63815,63135,595,8,0,8
8.28,63823,63146,595,8,0,8
8.29,63825,63158,595,2,0,2
8.30,63830,63164,595,5,1,5
8.31,63837,63173,595,7,0,7
9.1,63845,63176,595,8,1,8
9.2,63858,63183,595,13,1,13
9.3,63868,63191,595,10,1,10
9.4,63873,63202,595,5,0,5
9.5,63876,63208,595,3,0,3
9.6,63888,63215,595,12,0,12
9.7,63898,63217,595,10,3,10
9.8,63904,63221,595,6,0,6
9.9,63911,63226,595,7,0,7
9.10,63926,63234,595,15,1,15
9.11,63935,63248,595,9,0,9
9.12,63949,63258,595,14,0,14
9.13,63958,63269,595,9,1,9
9.14,63966,63275,595,8,0,8
9.15,63978,63280,595,12,0,12
9.16,63987,63291,595,9,0,9
9.17,64003,63304,595,16,0,16
9.18,64014,63312,595,11,0,11
9.19,64019,63322,595,5,0,5
9.20,64027,63326,595,8,0,8
9.21,64036,63331,595,9,0,9
